Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_NoVehicleWarningEffectTitle," Warning Effect"," Warning Effect"," Warning Effect"," Warning Effect","Эффект при предупреждении"," Warning Effect"," Warning Effect"," Warning Effect"," Warning Effect"," Effet d'alerte"," 警告效果"," Warning Effect"," Warning Effect"," 警告效果"
STR_NoVehicleWarningEffectIntensityTitle," Effect Intensity"," Effect Intensity"," Effect Intensity"," Effect Intensity","Интенсивность эффекта"," Effect Intensity"," Effect Intensity"," Effect Intensity"," Effect Intensity"," Effect Intensity"," 效果强度"," Effect Intensity"," Effect Intensity"," 效果强度"
STR_AllowVehicleDamagePvETitle,"  Allow Vehicle Damage PvE","  Allow Vehicle Damage PvE","  Allow Vehicle Damage PvE","  Allow Vehicle Damage PvE","Разрешить повреждение транспорта в PvE зонах","  Allow Vehicle Damage PvE","  Allow Vehicle Damage PvE","  Allow Vehicle Damage PvE","  Allow Vehicle Damage PvE"," Autoriser les dégâts aux véhicules en PvE","  允许车辆损坏PvE","  Allow Vehicle Damage PvE","  Allow Vehicle Damage PvE","  允许车辆损坏PvE"
STR_AllowVehicleDamagePvPTitle," Allow Vehicle Damage PvP"," Allow Vehicle Damage PvP"," Allow Vehicle Damage PvP"," Allow Vehicle Damage PvP","Разрешить повреждение транспорта в PvP зонах"," Allow Vehicle Damage PvP"," Allow Vehicle Damage PvP"," Allow Vehicle Damage PvP"," Allow Vehicle Damage PvP"," Autoriser les dégâts aux véhicules en PvP"," 允许车辆损坏PvP"," Allow Vehicle Damage PvP"," Allow Vehicle Damage PvP"," 允许车辆损坏PvP"
STR_AllowVehicleDamageRaidTitle," Allow Vehicle Damage Raid"," Allow Vehicle Damage Raid"," Allow Vehicle Damage Raid"," Allow Vehicle Damage Raid","Разрешить повреждение транспорта в Рейд зонах"," Allow Vehicle Damage Raid"," Allow Vehicle Damage Raid"," Allow Vehicle Damage Raid"," Allow Vehicle Damage Raid"," Autoriser les dégâts aux véhicules en Raid"," 允许车辆损坏突袭"," Allow Vehicle Damage Raid"," Allow Vehicle Damage Raid"," 允许车辆损坏突袭"
STR_VehicleDamageLoggingTitle," Vehicle Damage Logging"," Vehicle Damage Logging"," Vehicle Damage Logging"," Vehicle Damage Logging","Логирование повреждений транспорта"," Vehicle Damage Logging"," Vehicle Damage Logging"," Vehicle Damage Logging"," Vehicle Damage Logging"," Enregistrement des dommages aux véhicules"," 车辆损坏记录"," Vehicle Damage Logging"," Vehicle Damage Logging"," 车辆损坏记录"
STR_DestroyVehiclePartsTitle," Destroy Damage Zones"," Destroy Damage Zones"," Destroy Damage Zones"," Destroy Damage Zones","Уничтожить поврежденные зоны"," Destroy Damage Zones"," Destroy Damage Zones"," Destroy Damage Zones"," Destroy Damage Zones"," Détruire les zones de dégâts"," 摧毁伤害区域"," Destroy Damage Zones"," Destroy Damage Zones"," 摧毁伤害区域"
STR_RemoveVehicleAttachmentsTitle," Remove Attachments"," Remove Attachments"," Remove Attachments"," Remove Attachments","Удалить навесное оборудование"," Remove Attachments"," Remove Attachments"," Remove Attachments"," Remove Attachments"," Supprimer les pièces attachées"," 删除附件"," Remove Attachments"," Remove Attachments"," 删除附件"
STR_DestroyVehicleCargoTitle," Destroy Item Cargo"," Destroy Item Cargo"," Destroy Item Cargo"," Destroy Item Cargo","Уничтожить груз транспорта"," Destroy Item Cargo"," Destroy Item Cargo"," Destroy Item Cargo"," Destroy Item Cargo"," Détruire les articles en stockage"," 销毁物品库存"," Destroy Item Cargo"," Destroy Item Cargo"," 销毁物品库存"
STR_VehicleZoneCheckIntervalTitle," Vehicle Zone Check Interval (if vehicle engine is active)"," Vehicle Zone Check Interval (if vehicle engine is active)"," Vehicle Zone Check Interval (if vehicle engine is active)"," Vehicle Zone Check Interval (if vehicle engine is active)","Интервал проверки зоны транспорта (если двигатель активен)"," Vehicle Zone Check Interval (if vehicle engine is active)"," Vehicle Zone Check Interval (if vehicle engine is active)"," Vehicle Zone Check Interval (if vehicle engine is active)"," Vehicle Zone Check Interval (if vehicle engine is active)"," Intervalle de contrôle de la zone du véhicule (si le moteur du véhicule est démarré)"," 车辆区域检查间隔（如果车辆发动机处于活动状态）"," Vehicle Zone Check Interval (if vehicle engine is active)"," Vehicle Zone Check Interval (if vehicle engine is active)"," 车辆区域检查间隔（如果车辆发动机处于活动状态）"
STR_btnGeneralApply1,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Save and Reload","Save and Reload","Save and Reload","Save and Reload","Sauvegarde et rechargement","保存应用","Save and Reload","Save and Reload","保存应用"
STR_TerritoryFlagTitle," == Territory Flag =="," == Territory Flag =="," == Territory Flag =="," == Territory Flag =="," == Флаг территории =="," == Territory Flag =="," == Territory Flag =="," == Territory Flag =="," == Territory Flag =="," == drapeau du territoire =="," == 领土旗帜 =="," == Territory Flag =="," == Territory Flag =="," == 领土旗帜 =="
STR_EnableTerritoryFlagZonesTitle," Enable Zones"," Enable Zones"," Enable Zones"," Enable Zones","Включить территорию флага"," Enable Zones"," Enable Zones"," Enable Zones"," Enable Zones"," Activer les zones"," 启用区域"," Enable Zones"," Enable Zones"," 启用区域"
STR_TerritoryFlagZoneCreateModeTitle," Create Mode"," Create Mode"," Create Mode"," Create Mode","Режим создания территории флага"," Create Mode"," Create Mode"," Create Mode"," Create Mode"," Mode création"," 创建模式"," Create Mode"," Create Mode"," 创建模式"
STR_TerritoryFlagPvPZoneCheckIntervalTitle," Interval checks(ms)"," Interval checks(ms)"," Interval checks(ms)"," Interval checks(ms)","Интервал проверки (мс)"," Interval checks(ms)"," Interval checks(ms)"," Interval checks(ms)"," Interval checks(ms)"," Contrôle des intervalles (ms)"," 间隔检查（ms）"," Interval checks(ms)"," Interval checks(ms)"," 间隔检查（ms）"
STR_TerritoryFlagZoneRadiusTitle," Radius"," Radius"," Radius"," Radius","Радиус"," Radius"," Radius"," Radius"," Radius"," Rayon"," 半径"," Radius"," Radius"," 半径"
STR_TerritoryFlagZoneTypeTitle," Zone Type"," Zone Type"," Zone Type"," Zone Type","Тип зоны"," Zone Type"," Zone Type"," Zone Type"," Zone Type"," Type de zone"," 区域类型"," Zone Type"," Zone Type"," 区域类型"
STR_TerritoryFlagZonePriorityTitle," Zone Priority"," Zone Priority"," Zone Priority"," Zone Priority","Приоритет зоны"," Zone Priority"," Zone Priority"," Zone Priority"," Zone Priority"," Priorité à la zone"," 区域优先级"," Zone Priority"," Zone Priority"," 区域优先级"
STR_TerritoryFlagZoneForceFirstPersonTitle," Force First Person"," Force First Person"," Force First Person"," Force First Person","Вид от 1-го лица"," Force First Person"," Force First Person"," Force First Person"," Force First Person"," Forcer Première Personne"," 强制第一人称"," Force First Person"," Force First Person"," 强制第一人称"
STR_TerritoryFlagZoneEnableCustomMessagesTitle," Enable Custom Messages"," Enable Custom Messages"," Enable Custom Messages"," Enable Custom Messages","Включить пользовательское сообщение"," Enable Custom Messages"," Enable Custom Messages"," Enable Custom Messages"," Enable Custom Messages"," Activer les messages personnalisés"," 启用自定义消息"," Enable Custom Messages"," Enable Custom Messages"," 启用自定义消息"
STR_TerritoryFlagNotificationTitleTitle," Notif. Title"," Notif. Title"," Notif. Title"," Notif. Title","Заголовок уведомления"," Notif. Title"," Notif. Title"," Notif. Title"," Notif. Title"," Notif. Titre"," 通知.标题"," Notif. Title"," Notif. Title"," 通知.标题"
STR_TerritoryFlagNotificationTitleValue,"Flag PvP Zone","Flag PvP Zone","Flag PvP Zone","Flag PvP Zone","Зона PvP с флагом","Flag PvP Zone","Flag PvP Zone","Flag PvP Zone","Flag PvP Zone","Drapeau Zone PvP","标记PvP区域","Flag PvP Zone","Flag PvP Zone","标记PvP区域"
STR_TerritoryFlagEnterMessageTitle," Enter Message"," Enter Message"," Enter Message"," Enter Message","Сообщение о входе"," Enter Message"," Enter Message"," Enter Message"," Enter Message"," Message d’entré"," 进入消息"," Enter Message"," Enter Message"," 进入消息"
STR_TerritoryFlagEnterMessageValue,"You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","Вы в зоне действия PvP!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","Vous êtes entré dans une zone drapeau PvP !","您已进入旗帜PvP区域","You have entered a Flag PvP Zone!","You have entered a Flag PvP Zone!","您已进入旗帜PvP区域"
STR_TerritoryFlagExitMessageTitle," Exit Message"," Exit Message"," Exit Message"," Exit Message","Сообщение о выходе"," Exit Message"," Exit Message"," Exit Message"," Exit Message"," Message de sortie"," 退出消息"," Exit Message"," Exit Message"," 退出消息"
STR_TerritoryFlagExitMessageValue,"You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","Вы покинули зону PvP с флагом.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","Vous sortez d’une zone drapeau PvP !","您已离开旗帜PvP区域","You have left the Flag PvP Zone.","You have left the Flag PvP Zone.","您已离开旗帜PvP区域"
STR_TerritoryFlagNotificationColorTitle," Notif. Color"," Notif. Color"," Notif. Color"," Notif. Color","Цвет уведомления"," Notif. Color"," Notif. Color"," Notif. Color"," Notif. Color"," Notif. Couleur"," 通知.颜色"," Notif. Color"," Notif. Color"," 通知.颜色"
STR_TerritoryFlagZoneIconTitle," Icon Path"," Icon Path"," Icon Path"," Icon Path","Путь к иконке"," Icon Path"," Icon Path"," Icon Path"," Icon Path"," Chemin de l'icône"," 图标路径"," Icon Path"," Icon Path"," 图标路径"
STR_TerritoryFlagZoneDaysTitle," Active Days"," Active Days"," Active Days"," Active Days","Активные дни"," Active Days"," Active Days"," Active Days"," Active Days"," Jours d'activité"," 激活日期"," Active Days"," Active Days"," 激活日期"
STR_TerritoryFlagZoneStartHourTitle," Start Hour"," Start Hour"," Start Hour"," Start Hour","Час начала"," Start Hour"," Start Hour"," Start Hour"," Start Hour"," Heure de début"," 开始时间"," Start Hour"," Start Hour"," 开始时间"
STR_TerritoryFlagZoneEndHourTitle," End Hour"," End Hour"," End Hour"," End Hour","Час окончания"," End Hour"," End Hour"," End Hour"," End Hour"," Heure de fin"," 结束时间"," End Hour"," End Hour"," 结束时间"
STR_TerritoryFlagZoneDrawCircleTitle," Draw Shape"," Draw Shape"," Draw Shape"," Draw Shape","Отображение границы зоны"," Draw Shape"," Draw Shape"," Draw Shape"," Draw Shape"," Dessiner une forme"," 绘制形状"," Draw Shape"," Draw Shape"," 绘制形状"
STR_TerritoryFlagZoneAlphaTitle," Alpha"," Alpha"," Alpha"," Alpha","Прозрачность"," Alpha"," Alpha"," Alpha"," Alpha"," Alpha"," 应用"," Alpha"," Alpha"," 应用"
STR_TerritoryFlagZoneRedTitle," Red"," Red"," Red"," Red","Красный"," Red"," Red"," Red"," Red"," Rouge","红色"," Red"," Red","红色"
STR_TerritoryFlagZoneGreenTitle," Green"," Green"," Green"," Green","Зеленый"," Green"," Green"," Green"," Green"," Vert"," 绿色"," Green"," Green"," 绿色"
STR_TerritoryFlagZoneBlueTitle," Blue"," Blue"," Blue"," Blue","Синий"," Blue"," Blue"," Blue"," Blue"," Bleu"," 蓝色"," Blue"," Blue"," 蓝色"
STR_btnGeneralApply3,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Save and Reload","Save and Reload","Save and Reload","Save and Reload","Sauvegarde et rechargement","保存应用","Save and Reload","Save and Reload","保存应用"
STR_ExpansionGroupsTitle," == Expansion Groups =="," == Expansion Groups =="," == Expansion Groups =="," == Expansion Groups =="," == Expansion Groups =="," == Expansion Groups =="," == Expansion Groups =="," == Expansion Groups =="," == Expansion Groups =="," == Les groupes d'Expansion =="," == 扩展组队 =="," == Expansion Groups =="," == Expansion Groups =="," == 扩展组队 =="
STR_ExpansionGroupsFriendlyFireDisabledTitle," Expansion Groups Friendly Fire Disabled"," Expansion Groups Friendly Fire Disabled"," Expansion Groups Friendly Fire Disabled"," Expansion Groups Friendly Fire Disabled","Отключение дружественного огня для Expansion Groups"," Expansion Groups Friendly Fire Disabled"," Expansion Groups Friendly Fire Disabled"," Expansion Groups Friendly Fire Disabled"," Expansion Groups Friendly Fire Disabled"," Les tires entre amis de Groupe d'Expansion Désactivés"," 扩展组队好友开火禁用"," Expansion Groups Friendly Fire Disabled"," Expansion Groups Friendly Fire Disabled"," 扩展组队好友开火禁用"
STR_ExpansionAITitle," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="," == AI Expansion =="," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="," == Expansion AI =="
STR_AiToPlayerDamageEverywhereTitle," Ai To Player damage Everywhere"," Ai To Player damage Everywhere"," Ai To Player damage Everywhere"," Ai To Player damage Everywhere","Ai может атаковать игроков в любых зонах"," Ai To Player damage Everywhere"," Ai To Player damage Everywhere"," Ai To Player damage Everywhere"," Ai To Player damage Everywhere"," Dommage de L’AI au Joueur partout"," Ai对玩家造成的伤害无处不在"," Ai To Player damage Everywhere"," Ai To Player damage Everywhere"," Ai对玩家造成的伤害无处不在"
STR_PlayerToAiDamageEverywhereTitle," Player To Ai damage Everywhere"," Player To Ai damage Everywhere"," Player To Ai damage Everywhere"," Player To Ai damage Everywhere","Игроки могут атаковать Ai в любых зонах"," Player To Ai damage Everywhere"," Player To Ai damage Everywhere"," Player To Ai damage Everywhere"," Player To Ai damage Everywhere"," Dommage du Joueur à L’AI partout"," 玩家对Ai造成的伤害无处不在"," Player To Ai damage Everywhere"," Player To Ai damage Everywhere"," 玩家对Ai造成的伤害无处不在"
STR_OnlyAllowAIToDoDamageIfPlayerIsPvPTitle," Allow AI to damage Player if Player has PvP Status"," Allow AI to damage Player if Player has PvP Status"," Allow AI to damage Player if Player has PvP Status"," Allow AI to damage Player if Player has PvP Status","Игрок может получать урон от Ai только при активном статусе PvP"," Allow AI to damage Player if Player has PvP Status"," Allow AI to damage Player if Player has PvP Status"," Allow AI to damage Player if Player has PvP Status"," Allow AI to damage Player if Player has PvP Status"," Permettre à l'IA d'endommager le joueur si ce dernier a un statut PvP"," 如果玩家处于PvP状态，允许AI伤害玩家"," Allow AI to damage Player if Player has PvP Status"," Allow AI to damage Player if Player has PvP Status"," 如果玩家处于PvP状态，允许AI伤害玩家"
STR_OnlyAllowDamageToAIOnlyIfPlayerHasPvPStatusTitle," Allow Players damage to AI only If Player has PvP Status"," Allow Players damage to AI only If Player has PvP Status"," Allow Players damage to AI only If Player has PvP Status"," Allow Players damage to AI only If Player has PvP Status","Игрок может наносить урон AI только при активном статусе PvP"," Allow Players damage to AI only If Player has PvP Status"," Allow Players damage to AI only If Player has PvP Status"," Allow Players damage to AI only If Player has PvP Status"," Allow Players damage to AI only If Player has PvP Status"," Permettre au joueur d'endommager l’AI si ce joueur a un statut PvP"," 如果玩家处于PvP状态，允许玩家伤害AI"," Allow Players damage to AI only If Player has PvP Status"," Allow Players damage to AI only If Player has PvP Status"," 如果玩家处于PvP状态，允许玩家伤害AI"
STR_OnlyAllowAIToDoDamageIfPlayerIsPvETitle," Allow AI to damage Player if Player has PvE state"," Allow AI to damage Player if Player has PvE state"," Allow AI to damage Player if Player has PvE state"," Allow AI to damage Player if Player has PvE state","Игрок может получать урон от Ai только при активном статусе PvE"," Allow AI to damage Player if Player has PvE state"," Allow AI to damage Player if Player has PvE state"," Allow AI to damage Player if Player has PvE state"," Allow AI to damage Player if Player has PvE state"," Permettre à l'IA d'endommager le joueur si celui-ci est en état PvE"," 如果玩家处于PvE状态，允许AI伤害玩家"," Allow AI to damage Player if Player has PvE state"," Allow AI to damage Player if Player has PvE state"," 如果玩家处于PvE状态，允许AI伤害玩家"
STR_OnlyAllowDamageToAIIfPlayerHasPvEStatusTitle," Allow Players to damage AI if Player has PvE Status"," Allow Players to damage AI if Player has PvE Status"," Allow Players to damage AI if Player has PvE Status"," Allow Players to damage AI if Player has PvE Status","Игрок может наносить урон AI только при активном статусе PvE"," Allow Players to damage AI if Player has PvE Status"," Allow Players to damage AI if Player has PvE Status"," Allow Players to damage AI if Player has PvE Status"," Allow Players to damage AI if Player has PvE Status"," Permettre aux joueurs d'endommager l'IA si le joueur à un statut PvE"," 如果玩家处于PvE状态，允许玩家伤害AI"," Allow Players to damage AI if Player has PvE Status"," Allow Players to damage AI if Player has PvE Status"," 如果玩家处于PvE状态，允许玩家伤害AI"
STR_OnlyAllowAIToDamageInRaidModeTitle," Allow AI to damage Player if Player has Raid Mode status"," Allow AI to damage Player if Player has Raid Mode status"," Allow AI to damage Player if Player has Raid Mode status"," Allow AI to damage Player if Player has Raid Mode status","Игрок может получать урон от AI только в рейдовом режиме"," Allow AI to damage Player if Player has Raid Mode status"," Allow AI to damage Player if Player has Raid Mode status"," Allow AI to damage Player if Player has Raid Mode status"," Allow AI to damage Player if Player has Raid Mode status"," Permettre à l'IA d'endommager le joueur si celui-ci est en mode Raid"," 如果玩家处于突袭模式，允许AI伤害玩家"," Allow AI to damage Player if Player has Raid Mode status"," Allow AI to damage Player if Player has Raid Mode status"," 如果玩家处于突袭模式，允许AI伤害玩家"
STR_OnlyAllowPlayersToDamageAIInRaidModeTitle," Allow Players to damage AI if Player is in Raid Mode status"," Allow Players to damage AI if Player is in Raid Mode status"," Allow Players to damage AI if Player is in Raid Mode status"," Allow Players to damage AI if Player is in Raid Mode status","Игрок может наносить урон AI только в рейдовом режиме"," Allow Players to damage AI if Player is in Raid Mode status"," Allow Players to damage AI if Player is in Raid Mode status"," Allow Players to damage AI if Player is in Raid Mode status"," Allow Players to damage AI if Player is in Raid Mode status"," Permettre aux joueurs d'endommager l'IA s'ils sont en mode raid"," 如果玩家处于突袭模式，允许玩家伤害AI"," Allow Players to damage AI if Player is in Raid Mode status"," Allow Players to damage AI if Player is in Raid Mode status"," 如果玩家处于突袭模式，允许玩家伤害AI"
STR_ExpansionAITitle1," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI – механика урона от игрока по AI =="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI – Règles de dommages des joueurs à l'AI =="," == Expansion AI  - 玩家对AI伤害规则=="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI  - Player to AI Damage Rules=="," == Expansion AI  - 玩家对AI伤害规则=="
STR_ExpansionAITitle0," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI – механика урона AI по игрокам =="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI – Règles de dommages de l’AI aux joueurs =="," == Expansion AI  - AI对玩家的伤害规则=="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI  - AI to Players Damage Rules=="," == Expansion AI  - AI对玩家的伤害规则=="
STR_btnGeneralApply4,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Save and Reload","Save and Reload","Save and Reload","Save and Reload","Sauvegarde et rechargement","保存应用","Save and Reload","Save and Reload","保存应用"
STR_IconSettingsTitle," == Icon Settings =="," == Icon Settings =="," == Icon Settings =="," == Icon Settings =="," == Настройки значков =="," == Icon Settings =="," == Icon Settings =="," == Icon Settings =="," == Icon Settings =="," == Paramètres des icônes =="," == 图标设置 =="," == Icon Settings =="," == Icon Settings =="," == 图标设置 =="
STR_PvEImagePathTitle," PvE Image Path"," PvE Image Path"," PvE Image Path"," PvE Image Path","Путь к иконке PvE"," PvE Image Path"," PvE Image Path"," PvE Image Path"," PvE Image Path"," Chemin d'image PvE"," PvE图标路径"," PvE Image Path"," PvE Image Path"," PvE图标路径"
STR_PvPImagePathTitle," PvP Image Path"," PvP Image Path"," PvP Image Path"," PvP Image Path","Путь к иконке PvP"," PvP Image Path"," PvP Image Path"," PvP Image Path"," PvP Image Path"," Chemin d'image PvP"," PvP图标路径"," PvP Image Path"," PvP Image Path"," PvP图标路径"
STR_RaidImagePathTitle," Raid Image Path"," Raid Image Path"," Raid Image Path"," Raid Image Path","Путь к иконке Рейд"," Raid Image Path"," Raid Image Path"," Raid Image Path"," Raid Image Path"," Chemin d'image Raid"," 突袭图标路径"," Raid Image Path"," Raid Image Path"," 突袭图标路径"
STR_IconPositionXTitle," IconPositionX"," IconPositionX"," IconPositionX"," IconPositionX","Позиция значка по X"," IconPositionX"," IconPositionX"," IconPositionX"," IconPositionX"," Position de l'icône X"," 图标位置X"," IconPositionX"," IconPositionX"," 图标位置X"
STR_IconPositionYTitle," IconPositionY"," IconPositionY"," IconPositionY"," IconPositionY","Позиция значка по Y"," IconPositionY"," IconPositionY"," IconPositionY"," IconPositionY"," Position de l'icône Y"," 图标位置Y"," IconPositionY"," IconPositionY"," 图标位置Y"
STR_IconWidthTitle," IconWidth"," IconWidth"," IconWidth"," IconWidth","Ширина иконки"," IconWidth"," IconWidth"," IconWidth"," IconWidth"," Largeur de l'icône"," 图标宽度"," IconWidth"," IconWidth"," 图标宽度"
STR_IconHeightTitle," IconHeight"," IconHeight"," IconHeight"," IconHeight","Высота иконки"," IconHeight"," IconHeight"," IconHeight"," IconHeight"," Hauteur de l'icône"," 图标高度"," IconHeight"," IconHeight"," 图标高度"
STR_NotificationSizeTitle," == Notification Settings =="," == Notification Settings =="," == Notification Settings =="," == Notification Settings ==","==Настройки уведомлений=="," == Notification Settings =="," == Notification Settings =="," == Notification Settings =="," == Notification Settings =="," == Paramètres de notification =="," == 通知设置 =="," == Notification Settings =="," == Notification Settings =="," == 通知设置 =="
STR_ExitNotificationPanelTitle," Exit Notif. Panel X, Y, W, H"," Exit Notif. Panel X, Y, W, H"," Exit Notif. Panel X, Y, W, H"," Exit Notif. Panel X, Y, W, H","Панель уведомления выхода:X,Y,W,H"," Exit Notif. Panel X, Y, W, H"," Exit Notif. Panel X, Y, W, H"," Exit Notif. Panel X, Y, W, H"," Exit Notif. Panel X, Y, W, H"," Panneau de notification de sortie X, Y, W, H"," 退出通知 面板X、Y、W、H"," Exit Notif. Panel X, Y, W, H"," Exit Notif. Panel X, Y, W, H"," 退出通知 面板X、Y、W、H"
STR_ExitNotificationText," Exit Notification Text"," Exit Notification Text"," Exit Notification Text"," Exit Notification Text","Текст уведомления о выходе"," Exit Notification Text"," Exit Notification Text"," Exit Notification Text"," Exit Notification Text"," Texte de l'avis de sortie"," 退出通知文本"," Exit Notification Text"," Exit Notification Text"," 退出通知文本"
STR_ExitNotificationText0," Enable Exit Notif."," Enable Exit Notif."," Enable Exit Notif."," Enable Exit Notif.","Включить уведомление о выходе"," Enable Exit Notif."," Enable Exit Notif."," Enable Exit Notif."," Enable Exit Notif."," Activer la notif. de sortie"," 启用退出通知"," Enable Exit Notif."," Enable Exit Notif."," 启用退出通知"
STR_SafeZoneImagePathTitle," SafeZone Image Path"," SafeZone Image Path"," SafeZone Image Path"," SafeZone Image Path","Путь к иконке SafeZone"," SafeZone Image Path"," SafeZone Image Path"," SafeZone Image Path"," SafeZone Image Path"," Chemin d'accès à l'image SafeZone"," 安全区图像路径"," SafeZone Image Path"," SafeZone Image Path"," 安全区图像路径"
STR_BlockedNotificationText," Enable Notification for PvP to PvE player Damage"," Enable Notification for PvP to PvE player Damage"," Enable Notification for PvP to PvE player Damage"," Enable Notification for PvP to PvE player Damage","Уведомление о PvP уроне для PvE игроков"," Enable Notification for PvP to PvE player Damage"," Enable Notification for PvP to PvE player Damage"," Enable Notification for PvP to PvE player Damage"," Enable Notification for PvP to PvE player Damage"," Activer la notification pour les dommages joueurs PvP à PvE"," 启用PvP对PvE玩家伤害通知"," Enable Notification for PvP to PvE player Damage"," Enable Notification for PvP to PvE player Damage"," 启用PvP对PvE玩家伤害通知"
STR_btnGeneralApply5,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Save and Reload","Save and Reload","Save and Reload","Save and Reload","Sauvegarde et rechargement","保存应用","Save and Reload","Save and Reload","保存应用"
STR_LockpickTitle," == Lockpick =="," == Lockpick =="," == Lockpick =="," == Lockpick =="," == Отмычка =="," == Lockpick =="," == Lockpick =="," == Lockpick =="," == Lockpick =="," == Lockpick =="," == 撬锁 =="," == Lockpick =="," == Lockpick =="," == 撬锁 =="
STR_OnlyAllowLockPickInPvPTitle," Only Allow LockPick In PvP"," Only Allow LockPick In PvP"," Only Allow LockPick In PvP"," Only Allow LockPick In PvP","Разрешить использовать отмычку только в PvP"," Only Allow LockPick In PvP"," Only Allow LockPick In PvP"," Only Allow LockPick In PvP"," Only Allow LockPick In PvP"," N'autoriser le crochetage qu'en PvP"," 仅允许在PvP中使用LockPick"," Only Allow LockPick In PvP"," Only Allow LockPick In PvP"," 仅允许在PvP中使用LockPick"
STR_EnableLockpickingZoneCreationTitle," Enable Zone Creation"," Enable Zone Creation"," Enable Zone Creation"," Enable Zone Creation","Включить создание зоны"," Enable Zone Creation"," Enable Zone Creation"," Enable Zone Creation"," Enable Zone Creation"," Activer la création de zones"," 启用区域创建"," Enable Zone Creation"," Enable Zone Creation"," 启用区域创建"
STR_LockPickZoneDeletionTimeTitle," Zone Deletion Time (sec)"," Zone Deletion Time (sec)"," Zone Deletion Time (sec)"," Zone Deletion Time (sec)","Время удаления зоны (сек.)"," Zone Deletion Time (sec)"," Zone Deletion Time (sec)"," Zone Deletion Time (sec)"," Zone Deletion Time (sec)"," Temps de suppression de la zone (sec)"," 区域删除时间（秒）"," Zone Deletion Time (sec)"," Zone Deletion Time (sec)"," 区域删除时间（秒）"
STR_LockpickingZoneRadiusTitle," Zone Radius"," Zone Radius"," Zone Radius"," Zone Radius","Радиус зоны"," Zone Radius"," Zone Radius"," Zone Radius"," Zone Radius"," Rayon de la zone"," 区域半径"," Zone Radius"," Zone Radius"," 区域半径"
STR_EnableLockpickingNotificationTitle," Lockpicking Notification"," Lockpicking Notification"," Lockpicking Notification"," Lockpicking Notification","Уведомление о взломе"," Lockpicking Notification"," Lockpicking Notification"," Lockpicking Notification"," Lockpicking Notification"," Notification de crochetage"," 撬锁通知"," Lockpicking Notification"," Lockpicking Notification"," 撬锁通知"
STR_LockpickNotificationBroadcastRadiusTitle," Notif. Broadcast Radius"," Notif. Broadcast Radius"," Notif. Broadcast Radius"," Notif. Broadcast Radius","Радиус распространения уведомления"," Notif. Broadcast Radius"," Notif. Broadcast Radius"," Notif. Broadcast Radius"," Notif. Broadcast Radius"," Notif. Rayon de diffusion"," 通知.广播半径"," Notif. Broadcast Radius"," Notif. Broadcast Radius"," 通知.广播半径"
STR_LockpickNotificationIconPathTitle," Notif. Icon Path"," Notif. Icon Path"," Notif. Icon Path"," Notif. Icon Path","Путь иконке уведомления"," Notif. Icon Path"," Notif. Icon Path"," Notif. Icon Path"," Notif. Icon Path"," Notif. Chemin de l'icône"," 通知.图标路径"," Notif. Icon Path"," Notif. Icon Path"," 通知.图标路径"
STR_LockpickNotificationTitleTitle," Notif. Title"," Notif. Title"," Notif. Title"," Notif. Title","Заголовок"," Notif. Title"," Notif. Title"," Notif. Title"," Notif. Title"," Notif. Titre"," 通知.标题"," Notif. Title"," Notif. Title"," 通知.标题"
